Title	URL	Assignees	Status	Labels	$ Amount 	Milestone
Town Hall session on Ubio's work on AI tooling	https://github.com/SingularityNET-Archive/SingularityNET-Archive/issues/150	EseWilliams	Done	Archive, Community engagement, Development, Unpaid	150	June 2024
Archive GitBook Backlog part 2	https://github.com/SingularityNET-Archive/SingularityNET-Archive/issues/82	stephen-rowan	Done	Archive GitBook Backlog, Paid	250	June 2024
Tag taxonomy project: Q2, tag analysis and deriving a controlled vocab	https://github.com/SingularityNET-Archive/SingularityNET-Archive/issues/133	VanCardui	In Progress	Archive, Community engagement	350	June 2024
Document management and tooling - Q2	https://github.com/SingularityNET-Archive/SingularityNET-Archive/issues/108	Andre-Diamond	Done	Development	300	June 2024
Ubio Tool Development - Q2 2024	https://github.com/SingularityNET-Archive/SingularityNET-Archive/issues/122	ubiodee	Done	Development, Paid	400	June 2024
Archives GitBook - June 2024	https://github.com/SingularityNET-Archive/SingularityNET-Archive/issues/127	VanCardui	Done	Archive, Unpaid	100	June 2024
Quarterly report Q2 2024	https://github.com/SingularityNET-Archive/SingularityNET-Archive/issues/132	VanCardui	Done	Archive, Unpaid	50	June 2024
Updates to Ambassador GitBook - Q2 2024	https://github.com/SingularityNET-Archive/SingularityNET-Archive/issues/129	SucrenSpice	Done	Ambassadors GitBook, Paid	200	June 2024
Archive WG Budget - Quarter 2 2024	https://github.com/SingularityNET-Archive/SingularityNET-Archive/issues/131	stephen-rowan	In Progress	Archive		June 2024
Tag taxonomy project: Q2, mentorship and checking	https://github.com/SingularityNET-Archive/SingularityNET-Archive/issues/147	VanCardui	Done	Archive, Community engagement	200	June 2024
Explainer video on how to use the meeting summary tool	https://github.com/SingularityNET-Archive/SingularityNET-Archive/issues/149	michealkizzy	Done	Archive, Community engagement, Development, Paid	100	June 2024
Town Hall session on tag taxonomy work	https://github.com/SingularityNET-Archive/SingularityNET-Archive/issues/151	michealkizzy	Done	Archive, Community engagement, Paid	150	June 2024
Prizes for "good" meeting summaries	https://github.com/SingularityNET-Archive/SingularityNET-Archive/issues/152	SucrenSpice	Done	Archive, Community engagement, Paid	700	June 2024
Chasing up missing meeting summaries - Q2 2024	https://github.com/SingularityNET-Archive/SingularityNET-Archive/issues/153	EseWilliams	Done	Archive, Paid	200	June 2024
Publicity Q2 2024	https://github.com/SingularityNET-Archive/SingularityNET-Archive/issues/155	michealkizzy	Done	Archive, Community engagement, Paid	230	June 2024
QADAO-Open-Source-AI-Workflow (RAG) - Quarter 2 - 2024	https://github.com/SingularityNET-Archive/SingularityNET-Archive/issues/163	stephen-rowan	Done	Development	300	June 2024
Meeting 26 (Project Management) -  Wednesday, 12th June, 2024	https://github.com/SingularityNET-Archive/SingularityNET-Archive/issues/168	stephen-rowan	Done	Meetings	200	June 2024
Tool Development - June 2024	https://github.com/SingularityNET-Archive/SingularityNET-Archive/issues/169	Andre-Diamond	Done	Development	400	June 2024
Meeting 27 (Project Management) -  Wednesday, 26th June, 2024	https://github.com/SingularityNET-Archive/SingularityNET-Archive/issues/171	stephen-rowan	Done	Meetings		June 2024
LLM Development - June 2024	https://github.com/SingularityNET-Archive/SingularityNET-Archive/issues/174	stephen-rowan	Done	Development	100	June 2024
Governance Gitbook update part 2 - Quarter 2 2024	https://github.com/SingularityNET-Archive/SingularityNET-Archive/issues/124	VanCardui	Done	Governance GitBook, Unpaid	200	June 2024
Q2 2024 Correction and maintenance of monthly Archive records	https://github.com/SingularityNET-Archive/SingularityNET-Archive/issues/130	VanCardui	Done	Archive, Unpaid	250	June 2024